image_filename;description
alho1.png;Rico em alicina, possui potente ação antimicrobiana contra bactérias, vírus e fungos.
alho2.png;Ajuda a reduzir a pressão arterial por promover relaxamento dos vasos sanguíneos.
alho3.png;Contribui para redução do colesterol LDL e melhora do perfil lipídico.
alho4.png;Possui forte ação antioxidante, combatendo radicais livres.
alho5.png;Estimula o sistema imunológico, aumentando a resistência a infecções.
alho6.png;Atua como anti-inflamatório natural, ajudando em processos inflamatórios crônicos.
Cuphea_carthagenensis1.png;Possui ação vasodilatadora suave, auxiliando na regulação da pressão arterial.
Cuphea_carthagenensis2.png;Atua como diurético natural, ajudando na eliminação de líquidos.
Cuphea_carthagenensis3.png;Contribui para eliminação de toxinas do sangue e fígado.
Cuphea_carthagenensis4.png;Ajuda a regular a circulação sanguínea.
Cuphea_carthagenensis5.png;Possui propriedades anti-inflamatórias e antioxidantes.
Cuphea_carthagenensis6.png;Auxilia no controle da arritmia e palpitações cardíacas.
Cuphea_carthagenensis7.png;Facilita a eliminação do ácido úrico, podendo ajudar em casos de gota.
hibisco1.png;Possui forte efeito diurético, ajudando a reduzir retenção de líquidos.
hibisco2.png;Rico em antocianinas, potentes antioxidantes que combatem radicais livres.
hibisco3.png;Auxilia na redução da pressão arterial em casos leves a moderados.
hibisco4.png;Contribui para redução do colesterol LDL.
hibisco5.png;Ajuda a regular o metabolismo de gorduras.
hibisco6.png;Possui ação hepatoprotetora, protegendo o fígado.
hibisco7.png;Atua como anti-inflamatório natural.
gengibre_1.png;Contém gingerol e shogaol, compostos bioativos com forte ação anti-inflamatória.
gengibre_2.png;Ajuda a reduzir náuseas e enjoo, inclusive em gravidez e viagens.
gengibre_3.png;Possui potente ação antioxidante, protegendo células do estresse oxidativo.
gengibre_4.png;Estimula a digestão e produção de enzimas digestivas.
gengibre_5.png;Ajuda a reduzir dores musculares e articulares.
gengibre_6.png;Contribui para fortalecer o sistema imunológico.
gengibre_7.png;Pode auxiliar no controle da glicemia.
